position	fen	depth	wall_ms	grade_cpu_ms	grade_calls	nodes_evaluated	top_move	top_score	same_top_move	same_full_order	mean_abs_score_diff	reference_top2_gap	ladder_table	hash_probes	hash_probes_divergent	hash_probe_max_abs_cp	hash_probe_mean_abs_score_diff	wdl_candidate_depth	wdl_elo	wdl_calls	maia_inferences	wdl_spread	es_sf	es_wdl
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	14	69417	68682	100	400	f3g5	0.553839					14,14,14+floor10								383			
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	14	31999	1637	7	400	b4f4	0.692140					14,14,14+floor10								362			
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	83067	111542	400	400	f3g5	0.631320					14,14,14+floor10						1100	0	387		0.586568	0.563998
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	35238	1066	1	400	f3g5	0.581810	true	false	0.013255	0.064234	14,14,14+floor10					1	1100	399	389	0.068445	0.586568	0.563998
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	38199	11487	13	400	f3g5	0.587438	true	false	0.013689	0.064234	14,14,14+floor10					2	1100	387	388	0.069380	0.586568	0.563998
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	83390	97811	126	400	f3g5	0.583995	true	false	0.014655	0.064234	14,14,14+floor10					3	1100	274	388	0.071728	0.586568	0.563998
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	83191	107567	301	400	f3g5	0.606330	true	false	0.006691	0.064234	14,14,14+floor10					4	1100	99	388	0.095536	0.586568	0.563998
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	73995	87097	400	400	f3g5	0.602039					14,14,14+floor10						1500	0	385		0.586568	0.532255
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	34511	769	1	400	f3g5	0.555257	true	false	0.012024	0.048406	14,14,14+floor10					1	1500	399	385	0.058788	0.586568	0.532255
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	37397	8320	12	400	f3g5	0.557229	true	false	0.010138	0.048406	14,14,14+floor10					2	1500	388	385	0.058565	0.586568	0.532255
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	70056	68447	100	400	f3g5	0.553839	true	false	0.012048	0.048406	14,14,14+floor10					3	1500	300	383	0.064502	0.586568	0.532255
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	72892	81715	300	400	f3g5	0.575020	true	false	0.005461	0.048406	14,14,14+floor10					4	1500	100	385	0.082989	0.586568	0.532255
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl-ref	64167	68498	400	400	f3g5	0.593512					14,14,14+floor10						1900	0	387		0.586568	0.519946
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl1	34338	713	1	400	f3g5	0.567204	true	false	0.007468	0.044893	14,14,14+floor10					1	1900	399	384	0.045908	0.586568	0.519946
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl2	37000	6994	11	400	f3g5	0.567204	true	false	0.007777	0.044893	14,14,14+floor10					2	1900	389	384	0.046465	0.586568	0.519946
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl3	56260	44130	78	400	f3g5	0.565977	true	false	0.007079	0.044893	14,14,14+floor10					3	1900	322	384	0.040422	0.586568	0.519946
fen14	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	wdl4	60071	58176	279	400	f3g5	0.580456	true	false	0.004496	0.044893	14,14,14+floor10					4	1900	121	384	0.057268	0.586568	0.519946
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl-ref	36696	12858	400	400	b4f4	0.671541					14,14,14+floor10						1100	0	376		0.638080	0.722036
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl1	31114	426	1	400	b4f4	0.703586	true	true	0.018131	0.120226	14,14,14+floor10					1	1100	399	375	0.156488	0.638080	0.722036
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl2	31471	890	3	400	b4f4	0.703586	true	true	0.018131	0.120226	14,14,14+floor10					2	1100	397	375	0.156488	0.638080	0.722036
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl3	32337	2613	11	400	b4f4	0.704135	true	true	0.026074	0.120226	14,14,14+floor10					3	1100	389	375	0.172375	0.638080	0.722036
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl4	32833	3343	31	400	b4f4	0.703095	true	true	0.027378	0.120226	14,14,14+floor10					4	1100	369	375	0.174982	0.638080	0.722036
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl-ref	34747	10537	400	400	b4f4	0.645594					14,14,14+floor10						1500	0	367		0.638080	0.763107
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl1	30078	419	1	400	b4f4	0.692116	true	true	0.039210	0.114049	14,14,14+floor10					1	1500	399	362	0.192468	0.638080	0.763107
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl2	30275	768	3	400	b4f4	0.692116	true	true	0.039210	0.114049	14,14,14+floor10					2	1500	397	362	0.192468	0.638080	0.763107
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl3	30753	1674	7	400	b4f4	0.692140	true	true	0.048620	0.114049	14,14,14+floor10					3	1500	393	362	0.211288	0.638080	0.763107
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl4	30746	1604	13	400	b4f4	0.692144	true	true	0.047425	0.114049	14,14,14+floor10					4	1500	387	362	0.208898	0.638080	0.763107
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl-ref	33653	8643	400	400	b4f4	0.593238					14,14,14+floor10						1900	0	357		0.638080	0.809427
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl1	29650	424	1	400	b4f4	0.639640	true	true	0.054822	0.079551	14,14,14+floor10					1	1900	399	357	0.189195	0.638080	0.809427
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl2	29806	654	3	400	b4f4	0.639640	true	true	0.054822	0.079551	14,14,14+floor10					2	1900	397	357	0.189195	0.638080	0.809427
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl3	30099	1027	6	400	b4f4	0.639640	true	true	0.054822	0.079551	14,14,14+floor10					3	1900	394	357	0.189195	0.638080	0.809427
fen15	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	wdl4	30167	1061	13	400	b4f4	0.639640	true	true	0.054614	0.079551	14,14,14+floor10					4	1900	387	358	0.188778	0.638080	0.809427
