gate	position	fen	wdl_move	ref_move	es_wdl	es_ref	delta	wall_ms_wdl	wall_ms_ref	grade_calls_wdl	grade_calls_ref	verdict	correct_move	eval_gap_cp
A	g687537-p46	3r2k1/1pb2ppp/p2r3q/8/1PB5/2P2Q2/PB3PPP/3R1RK1 b - - 3 24	d6d1	d6d1	0.193884	0.193884	0.000000	5163	5219	16	50	pass	h6h2	408
A	g687537-p48	3r2k1/1pb2ppp/p2r4/8/1PB5/2P2Q2/PB3PPK/3R1R2 b - - 0 25	d6h6	d6h6	0.500000	0.500000	0.000000	4818	4630	30	50	pass	d6h6	595
A	qFkqJ	5rk1/p5pp/b1p1p3/2p1N3/3Pp1Qq/N1P5/PP4PP/R5K1 b - - 6 18	h4f2	h4f2	0.975447	0.975447	0.000000	4720	4966	10	50	pass	h4f2	1160
A	3pyT9	2k4r/ppq4p/5p2/2N2bp1/2PPr3/PQ2B3/P3nPPP/R4R1K b - - 7 20	c7h2	c7h2	0.975447	0.975447	0.000000	6956	7913	26	50	pass	c7h2	884
A	Mhfvi	2k4r/ppp4p/1b2p3/1Nq4r/2P3n1/2Q3B1/PP4PP/R4R1K b - - 5 22	h8g8	h8g8	0.600779	0.600779	0.000000	15875	15248	43	50	pass	c5g1	889
A	qRvUi	2r2r1k/p4Pp1/7p/1n1p4/7B/qP3N1B/P1p3PP/2Q4K w - - 1 32	c1h6	c1h6	0.975447	0.975447	0.000000	4760	4799	14	50	pass	c1h6	1535
A	mWhzd	2kr1b1r/1p1n1pp1/1Rn1p1p1/3p4/3P1BP1/2P1PP2/3N3P/4KB1R w K - 1 20	b6b5	b6b5	0.576713	0.576713	0.000000	11632	11670	50	50	pass	b6c6	910
A	I3vZ1	r6k/1b2pR1p/4Q1p1/p1pq4/8/2PB4/P1P3PP/7K w - - 1 22	f7h7	f7h7	0.975447	0.975447	0.000000	4282	4900	11	50	pass	f7h7	1117
A	WwKKM	3r1r2/4Bpk1/p3b3/7Q/7P/2p5/qPP2PP1/2K4R w - - 2 26	h5g5	h5g5	0.500000	0.500000	0.000000	4451	3939	16	50	pass	e7f6	1000
A	cBFTV	3rk2r/2q2pp1/p4b1p/1pp5/4B1b1/1P6/P3QRPP/4R2K w k - 0 24	e2g4	e2g4	0.375633	0.375633	0.000000	5812	6332	21	50	pass	e4c6	1099
A	RKFRP	r5kr/5Nqp/3NpQp1/p2bPp1P/2p5/1n4P1/1P2K3/8 w - - 6 29	f7h6	f7h6	0.975447	0.975447	0.000000	5672	6225	34	50	pass	f7h6	1543
A	zskVk	1r1q1rk1/pb1p1Npp/1p6/3Q4/4R3/8/PP3PPP/4R1K1 w - - 1 19	f7h6	f7h6	0.975447	0.975447	0.000000	5167	5352	20	50	pass	f7h6	964
B	italian	r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4	f3g5	f3g5	0.494477	0.494477	0.000000	8664	9009	36	50	tie		
B	middlegame	r2q1rk1/pp1nbppp/2p1bn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R4RK1 w - - 6 11	f3g5	f3g5	0.583887	0.583887	0.000000	16617	16677	50	50	tie		
B	sharp	r1bq1r1k/pp1nbppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQ - 2 11	h2h4	h2h4	0.492636	0.492636	0.000000	10990	11240	49	50	tie		
B	endgame	8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1	b4f4	b4f4	0.500000	0.500000	0.000000	5276	5773	10	50	tie		
