pass	bot_elo	bot_blend	anchor	result	reason	plies	game_index	bot_is_white	opening	seed	git_sha	bot_eval_count	cp_loss_sum	blunder_count	sf_comparable	sf_agree	maia_comparable	maia_agree	elapsed_ms	mean_move_ms
locate	2300	0.5	sf3	win	adjudicated_eval	55	0	1	Italian Game	1	b59f3b2b	27	897.00	0	27	17	28	19	99562	2591.266634285714
locate	2300	0.5	sf3	win	adjudicated_eval	61	1	0	Ruy Lopez	1	b59f3b2b	30	935.00	1	30	13	31	10	159873	4189.104593903225
locate	2300	0.5	sf3	win	adjudicated_eval	40	2	1	Ruy Lopez, Morphy Defense	1	b59f3b2b	20	166.00	0	20	8	20	10	86851	3342.38196815
locate	2300	0.5	sf3	win	adjudicated_eval	21	3	0	Scotch Game	1	b59f3b2b	10	350.00	0	10	4	11	4	44014	3168.4994900909
locate	2300	0.5	sf3	win	adjudicated_eval	57	4	1	Petrov Defense	1	b59f3b2b	28	539.00	0	28	11	29	11	173307	5010.29422293104
locate	2300	0.5	sf3	win	adjudicated_eval	68	5	0	Four Knights Game	1	b59f3b2b	34	944.00	0	34	10	34	13	150009	3494.24608279412
locate	2300	0.5	sf3	draw	ply_cap_draw	120	6	1	Vienna Game	1	b59f3b2b	60	2262.00	2	60	15	60	23	289592	3826.340717283322
locate	2300	0.5	sf3	win	adjudicated_eval	35	7	0	King's Gambit	1	b59f3b2b	17	604.00	0	17	8	18	9	83273	3681.6927333333556
locate	2300	0.5	maia1900	draw	ply_cap_draw	120	8	1	Sicilian Defense, Open	1	b59f3b2b	59	1212.00	1	59	22	60	29	200374	3236.1680545666563
locate	2300	0.5	maia1900	win	checkmate	52	9	0	Sicilian Defense, Najdorf	1	b59f3b2b	25	927.00	1	26	12	26	12	133520	5023.598469961542
locate	2300	0.5	maia1900	win	checkmate	11	10	1	Sicilian Defense, Dragon	1	b59f3b2b	4	58.00	0	5	5	6	4	16634	2683.5564423333467
locate	2300	0.5	maia1900	win	adjudicated_eval	74	11	0	French Defense	1	b59f3b2b	37	1002.00	0	37	16	37	17	120389	3145.691430378397
locate	2300	0.5	maia1900	win	adjudicated_eval	56	12	1	French Defense, Advance	1	b59f3b2b	28	872.00	0	28	13	28	16	77869	2678.2190258928376
locate	2300	0.5	maia1900	win	adjudicated_eval	74	13	0	Caro-Kann Defense	1	b59f3b2b	37	856.00	0	37	19	37	20	131191	3441.9607461351475
locate	2300	0.5	maia1900	win	adjudicated_eval	40	14	1	Caro-Kann Defense, Advance	1	b59f3b2b	20	485.00	0	20	11	20	10	60896	2944.3396770500112
