pass	bot_elo	bot_blend	anchor	result	reason	plies	game_index	bot_is_white	opening	seed	git_sha	bot_eval_count	cp_loss_sum	blunder_count	sf_comparable	sf_agree	maia_comparable	maia_agree	elapsed_ms	mean_move_ms
locate	1100	0	sf0	loss	adjudicated_eval	72	0	1	Italian Game	1	b59f3b2b	35	3169.00	5	35	10	36	13	39909	108.06326330555584
locate	1100	0	sf0	win	checkmate	63	1	0	Ruy Lopez	1	b59f3b2b	30	2364.00	2	31	10	32	15	34205	99.88814043749994
locate	1100	0	sf0	win	adjudicated_eval	63	2	1	Ruy Lopez, Morphy Defense	1	b59f3b2b	31	1436.00	2	31	9	31	11	35164	101.71886061290195
locate	1100	0	sf0	draw	ply_cap_draw	120	3	0	Scotch Game	1	b59f3b2b	59	3488.00	2	59	18	60	24	66317	104.90562263333389
locate	1100	0	sf0	win	adjudicated_eval	55	4	1	Petrov Defense	1	b59f3b2b	27	1006.00	1	27	10	28	13	30023	107.60034528571539
locate	1100	0	sf0	loss	adjudicated_eval	41	5	0	Four Knights Game	1	b59f3b2b	20	1903.00	4	20	8	20	9	23199	109.74564830000017
locate	1100	0	sf0	loss	checkmate	31	6	1	Vienna Game	1	b59f3b2b	15	2256.00	2	15	5	15	9	17661	110.60822179999668
locate	1100	0	sf0	win	adjudicated_eval	44	7	0	King's Gambit	1	b59f3b2b	21	803.00	1	21	6	22	8	24416	109.45925259090754
locate	1100	0	maia1100	loss	adjudicated_eval	42	8	1	Sicilian Defense, Open	1	b59f3b2b	20	1464.00	2	20	7	21	10	4514	110.31054852381514
locate	1100	0	maia1100	win	checkmate	32	9	0	Sicilian Defense, Najdorf	1	b59f3b2b	15	549.00	1	16	10	16	13	3395	105.46140368750275
locate	1100	0	maia1100	loss	adjudicated_eval	44	10	1	Sicilian Defense, Dragon	1	b59f3b2b	21	784.00	1	21	6	22	10	4670	107.16795468181954
locate	1100	0	maia1100	loss	adjudicated_eval	50	11	0	French Defense	1	b59f3b2b	25	1314.00	0	25	8	25	11	5195	104.66916075999383
locate	1100	0	maia1100	loss	adjudicated_eval	31	12	1	French Defense, Advance	1	b59f3b2b	15	2201.00	3	15	5	15	5	3102	103.3042378000139
locate	1100	0	maia1100	loss	checkmate	27	13	0	Caro-Kann Defense	1	b59f3b2b	13	1057.00	1	13	6	13	7	2856	104.93687976922732
locate	1100	0	maia1100	loss	adjudicated_eval	49	14	1	Caro-Kann Defense, Advance	1	b59f3b2b	24	1706.00	0	24	6	24	6	5127	106.56603220833738
locate	1100	0	maia1100	loss	checkmate	35	15	0	Scandinavian Defense	1	b59f3b2b	17	1546.00	3	17	4	17	11	3655	107.16134417647332
measure	1100	0	maia700	draw	threefold_repetition	56	16	1	Pirc Defense	1	b59f3b2b	27	2715.00	3	27	11	28	14	5844	105.43847935714543
measure	1100	0	maia700	loss	checkmate	61	17	0	Modern Defense	1	b59f3b2b	30	4005.00	4	30	7	30	17	6365	105.23274116666094
