pass	bot_elo	bot_blend	anchor	result	reason	plies	game_index	bot_is_white	opening	seed	git_sha	bot_eval_count	cp_loss_sum	blunder_count	sf_comparable	sf_agree	maia_comparable	maia_agree	elapsed_ms	mean_move_ms
locate	1300	0.05	sf3	loss	checkmate	70	0	1	Italian Game	1	b59f3b2b	34	2650.00	0	34	7	35	11	200689	4733.6349793142845
locate	1300	0.05	sf3	draw	ply_cap_draw	120	1	0	Ruy Lopez	1	b59f3b2b	59	2557.00	1	59	22	60	18	342189	4703.004698016669
locate	1300	0.05	sf3	win	adjudicated_eval	93	2	1	Ruy Lopez, Morphy Defense	1	b59f3b2b	46	2590.00	3	46	10	46	13	271018	4869.663191869554
locate	1300	0.05	sf3	loss	adjudicated_eval	24	3	0	Scotch Game	1	b59f3b2b	11	850.00	1	11	5	12	4	64298	4357.854077583324
locate	1300	0.05	sf3	loss	checkmate	76	4	1	Petrov Defense	1	b59f3b2b	37	2513.00	3	37	7	38	8	235632	5225.58670700002
locate	1300	0.05	sf3	loss	adjudicated_eval	79	5	0	Four Knights Game	1	b59f3b2b	39	2527.00	2	39	11	39	10	226440	4780.335202051285
locate	1300	0.05	sf3	draw	ply_cap_draw	120	6	1	Vienna Game	1	b59f3b2b	60	3185.00	1	60	16	60	21	313176	4219.422056433329
locate	1300	0.05	sf3	win	adjudicated_eval	33	7	0	King's Gambit	1	b59f3b2b	16	372.00	0	16	11	17	6	93794	4575.910641705877
locate	1300	0.05	sf5	win	adjudicated_eval	57	8	1	Sicilian Defense, Open	1	b59f3b2b	28	877.00	0	28	11	29	9	136424	3738.640975862059
locate	1300	0.05	sf5	loss	adjudicated_eval	23	9	0	Sicilian Defense, Najdorf	1	b59f3b2b	11	1247.00	1	11	3	11	2	64848	4804.2888703636445
locate	1300	0.05	sf5	loss	adjudicated_eval	96	10	1	Sicilian Defense, Dragon	1	b59f3b2b	47	2742.00	1	47	11	48	7	293011	5104.188885333332
locate	1300	0.05	sf5	loss	adjudicated_eval	77	11	0	French Defense	1	b59f3b2b	38	1497.00	2	38	11	38	11	247331	5482.277633026291
locate	1300	0.05	sf5	loss	adjudicated_eval	78	12	1	French Defense, Advance	1	b59f3b2b	39	1277.00	0	39	15	39	9	233298	4981.860993205128
locate	1300	0.05	sf5	loss	checkmate	51	13	0	Caro-Kann Defense	1	b59f3b2b	25	1175.00	0	25	7	25	9	142927	4676.920187720023
locate	1300	0.05	sf5	draw	ply_cap_draw	120	14	1	Caro-Kann Defense, Advance	1	b59f3b2b	60	2735.00	2	60	23	60	23	297311	3954.998718416652
locate	1300	0.05	sf5	loss	checkmate	85	15	0	Scandinavian Defense	1	b59f3b2b	42	2005.00	0	42	8	42	17	202110	3788.0899060714123
measure	1300	0.05	sf3	loss	checkmate	88	16	1	Pirc Defense	1	b59f3b2b	43	2879.00	3	43	17	44	15	190108	3328.9906149772737
measure	1300	0.05	sf3	win	checkmate	50	17	0	Modern Defense	1	b59f3b2b	24	1090.00	0	25	12	25	8	125335	4052.9713902400063
measure	1300	0.05	sf3	loss	adjudicated_eval	38	18	1	Alekhine Defense	1	b59f3b2b	18	1389.00	1	18	4	19	3	118183	5219.822645736883
measure	1300	0.05	sf3	loss	adjudicated_eval	83	19	0	Queen's Gambit Declined	1	b59f3b2b	41	2629.00	1	41	5	41	10	212995	4170.531423170755
measure	1300	0.05	sf3	loss	adjudicated_eval	46	20	1	Queen's Gambit Accepted	1	b59f3b2b	22	2791.00	3	22	7	23	11	88401	2843.424102913102
measure	1300	0.05	sf3	win	adjudicated_eval	38	21	0	Slav Defense	1	b59f3b2b	19	515.00	0	19	4	19	9	99113	4216.422015842222
measure	1300	0.05	sf3	loss	adjudicated_eval	40	22	1	King's Indian Defense	1	b59f3b2b	19	1951.00	1	19	2	20	5	94533	3726.583948950004
measure	1300	0.05	sf3	loss	adjudicated_eval	66	23	0	Nimzo-Indian Defense	1	b59f3b2b	33	1871.00	1	33	7	33	8	170381	4162.921215575866
