bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha	skip_reason	beyond_ladder	draw_rate	mean_game_length	acpl	blunder_rate	sf_agreement	maia_agreement
1900	0.05	maia700	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	e7329f01	not_bracketed	false						
1900	0.05	maia1100	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	e7329f01	not_bracketed	false						
1900	0.05	maia1500	24	16	4	4	0.7500	12	9	2	1	0.8333	12	7	2	3	0.6667	1	50	8	4	e7329f01		false	0.1667	71.54	40.8	0.0369	0.4493	0.4692
1900	0.05	maia1900	24	7	6	11	0.4167	12	2	4	6	0.3333	12	5	2	5	0.5000	1	50	8	4	e7329f01		false	0.2500	72.54	41.4	0.0187	0.4429	0.4488
1900	0.05	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	e7329f01	not_bracketed	false						
1900	0.05	sf0	8	8	0	0	1.0000	4	4	0	0	1.0000	4	4	0	0	1.0000	1	50	8	4	e7329f01		false	0.0000	51.88	43.2	0.0049	0.3578	0.3876
1900	0.05	sf3	24	11	5	8	0.5625	12	3	4	5	0.4167	12	8	1	3	0.7083	1	50	8	4	e7329f01		false	0.2083	79.21	42.3	0.0256	0.3390	0.3684
1900	0.05	sf5	24	10	5	9	0.5208	12	4	3	5	0.4583	12	6	2	4	0.5833	1	50	8	4	e7329f01		false	0.2083	81.92	39.5	0.0113	0.3615	0.4008
1900	0.05	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	e7329f01	not_bracketed	false						
1900	0.05	sf10	8	0	0	8	0.0000	4	0	0	4	0.0000	4	0	0	4	0.0000	1	50	8	4	e7329f01		false	0.0000	68.13	49.7	0.0299	0.3582	0.3222
