pass	bot_elo	bot_blend	anchor	result	reason	plies	game_index	bot_is_white	opening	seed	git_sha	bot_eval_count	cp_loss_sum	blunder_count	sf_comparable	sf_agree	maia_comparable	maia_agree	elapsed_ms	mean_move_ms
locate	1900	0.05	sf0	win	adjudicated_eval	51	0	1	Italian Game	1	e7329f01	25	1491.00	0	25	7	26	8	110661	3294.401979423077
locate	1900	0.05	sf0	win	adjudicated_eval	36	1	0	Ruy Lopez	1	e7329f01	17	778.00	1	17	12	18	9	65318	2628.621127388885
locate	1900	0.05	sf0	win	adjudicated_eval	45	2	1	Ruy Lopez, Morphy Defense	1	e7329f01	22	758.00	0	22	9	22	10	78314	2514.1224880000054
locate	1900	0.05	sf0	win	adjudicated_eval	33	3	0	Scotch Game	1	e7329f01	16	706.00	0	16	5	17	10	73569	3386.4299354117557
locate	1900	0.05	sf0	win	adjudicated_eval	103	4	1	Petrov Defense	1	e7329f01	51	2228.00	0	51	18	52	15	210125	3060.1064203461497
locate	1900	0.05	sf0	win	adjudicated_eval	56	5	0	Four Knights Game	1	e7329f01	28	1277.00	0	28	9	28	10	125298	3474.7686539285764
locate	1900	0.05	sf0	win	adjudicated_eval	76	6	1	Vienna Game	1	e7329f01	38	1298.00	0	38	10	38	14	158369	3167.5693860263136
locate	1900	0.05	sf0	win	adjudicated_eval	15	7	0	King's Gambit	1	e7329f01	7	271.00	0	7	3	8	5	21563	1820.2442960000335
locate	1900	0.05	sf10	loss	adjudicated_eval	104	8	1	Sicilian Defense, Open	1	e7329f01	51	1788.00	2	51	24	52	23	287015	4519.441240153853
locate	1900	0.05	sf10	loss	adjudicated_eval	27	9	0	Sicilian Defense, Najdorf	1	e7329f01	13	772.00	0	13	2	13	3	61567	3658.7920291538244
locate	1900	0.05	sf10	loss	adjudicated_eval	78	10	1	Sicilian Defense, Dragon	1	e7329f01	38	2342.00	4	38	9	39	7	189858	3868.1356073589695
locate	1900	0.05	sf10	loss	checkmate	75	11	0	French Defense	1	e7329f01	37	2019.00	0	37	15	37	13	175720	3722.057254054055
locate	1900	0.05	sf10	loss	checkmate	71	12	1	French Defense, Advance	1	e7329f01	35	1467.00	0	35	14	35	13	159848	3538.4553166857254
locate	1900	0.05	sf10	loss	adjudicated_eval	86	13	0	Caro-Kann Defense	1	e7329f01	43	2015.00	0	43	15	43	10	164439	2824.071802813944
locate	1900	0.05	sf10	loss	adjudicated_eval	53	14	1	Caro-Kann Defense, Advance	1	e7329f01	26	1353.00	2	26	9	26	8	124737	3758.991850500004
locate	1900	0.05	sf10	loss	adjudicated_eval	51	15	0	Scandinavian Defense	1	e7329f01	25	1559.00	0	25	8	25	10	87626	2464.9948558400197
measure	1900	0.05	sf5	loss	adjudicated_eval	37	16	1	Pirc Defense	1	e7329f01	18	1166.00	1	18	6	19	7	89485	3762.3156075263887
measure	1900	0.05	sf5	loss	adjudicated_eval	111	17	0	Modern Defense	1	e7329f01	55	2647.00	0	55	14	55	14	239364	3333.853534090883
measure	1900	0.05	sf5	win	adjudicated_eval	100	18	1	Alekhine Defense	1	e7329f01	49	1478.00	0	49	22	50	18	269041	4380.7128584
measure	1900	0.05	sf5	loss	adjudicated_eval	109	19	0	Queen's Gambit Declined	1	e7329f01	54	1871.00	1	54	18	54	27	194515	2583.544703129627
measure	1900	0.05	sf5	loss	adjudicated_eval	119	20	1	Queen's Gambit Accepted	1	e7329f01	59	3481.00	0	59	20	60	25	255954	3282.5911907833924
measure	1900	0.05	sf5	loss	adjudicated_eval	78	21	0	Slav Defense	1	e7329f01	39	1690.00	0	39	9	39	15	207098	4321.522454923007
measure	1900	0.05	sf5	loss	adjudicated_eval	66	22	1	King's Indian Defense	1	e7329f01	32	2234.00	1	32	11	33	9	139991	3242.203733393993
measure	1900	0.05	sf5	win	adjudicated_eval	42	23	0	Nimzo-Indian Defense	1	e7329f01	21	773.00	0	21	6	21	12	129427	5163.184968666795
measure	1900	0.05	sf5	win	adjudicated_eval	73	24	1	Gruenfeld Defense	1	e7329f01	36	1252.00	0	36	14	37	15	189657	4152.854554729713
measure	1900	0.05	sf5	win	adjudicated_eval	63	25	0	Queen's Indian Defense	1	e7329f01	31	407.00	0	31	11	31	12	172358	4527.5751901935455
measure	1900	0.05	sf5	loss	adjudicated_eval	82	26	1	Bogo-Indian Defense	1	e7329f01	40	2048.00	1	40	14	41	15	222358	4423.378569512173
measure	1900	0.05	sf5	win	adjudicated_eval	108	27	0	Dutch Defense	1	e7329f01	54	2051.00	1	54	21	54	19	238176	3410.620228537065
measure	1900	0.05	sf5	draw	ply_cap_draw	120	28	1	Benoni Defense	1	e7329f01	59	1838.00	0	59	25	60	30	234171	2902.805845650006
measure	1900	0.05	sf5	draw	ply_cap_draw	120	29	0	English Opening	1	e7329f01	60	1938.00	2	60	26	60	30	235711	2928.4714898500283
measure	1900	0.05	sf5	draw	threefold_repetition	99	30	1	English Opening, Reversed Sicilian	1	e7329f01	48	822.00	0	49	14	50	16	212933	3278.6195547999628
measure	1900	0.05	sf5	draw	ply_cap_draw	120	31	0	Reti Opening	1	e7329f01	59	2760.00	1	59	16	60	17	280294	3671.4525030666964
measure	1900	0.05	sf5	win	adjudicated_eval	49	32	1	London System	1	e7329f01	24	675.00	1	24	12	24	18	87156	2589.6593087085057
measure	1900	0.05	sf5	win	adjudicated_eval	64	33	0	Italian Game	1	e7329f01	32	1043.00	0	32	14	32	12	150808	3712.706930468703
measure	1900	0.05	sf5	draw	ply_cap_draw	120	34	1	Ruy Lopez	1	e7329f01	60	2354.00	0	60	24	60	28	214603	2576.6861523333314
measure	1900	0.05	sf5	loss	adjudicated_eval	116	35	0	Ruy Lopez, Morphy Defense	1	e7329f01	57	1752.00	0	57	22	58	23	228817	2945.091659086098
measure	1900	0.05	sf5	win	adjudicated_eval	35	36	1	Scotch Game	1	e7329f01	17	689.00	0	17	4	17	7	81984	3763.8136325882856
measure	1900	0.05	sf5	win	adjudicated_eval	48	37	0	Petrov Defense	1	e7329f01	24	667.00	0	24	9	24	8	85608	2567.069161499967
measure	1900	0.05	sf5	loss	checkmate	24	38	1	Four Knights Game	1	e7329f01	11	1390.00	1	11	5	12	5	48872	3072.423249333476
measure	1900	0.05	sf5	win	adjudicated_eval	63	39	0	Vienna Game	1	e7329f01	31	1318.00	1	31	14	32	12	136255	3289.1379462499463
measure	1900	0.05	maia1500	win	checkmate	74	40	1	King's Gambit	1	e7329f01	36	2491.00	4	37	18	37	16	83729	2177.908415675616
measure	1900	0.05	maia1500	win	adjudicated_eval	51	41	0	Sicilian Defense, Open	1	e7329f01	25	872.00	0	25	8	25	12	57656	2214.9545907200873
measure	1900	0.05	maia1500	win	adjudicated_eval	103	42	1	Sicilian Defense, Najdorf	1	e7329f01	51	1255.00	0	51	25	52	19	197970	3721.7570915576607
measure	1900	0.05	maia1500	win	checkmate	20	43	0	Sicilian Defense, Dragon	1	e7329f01	9	151.00	0	10	6	10	5	16673	1577.7325521001592
measure	1900	0.05	maia1500	win	checkmate	75	44	1	French Defense	1	e7329f01	36	1409.00	1	37	15	38	20	118284	3027.4572138420895
measure	1900	0.05	maia1500	draw	threefold_repetition	63	45	0	French Defense, Advance	1	e7329f01	30	809.00	1	31	15	32	19	105766	3218.5936474062037
measure	1900	0.05	maia1500	win	checkmate	45	46	1	Caro-Kann Defense	1	e7329f01	21	784.00	1	22	9	23	10	73830	3124.1364660868826
