pass	bot_elo	bot_blend	anchor	result	reason	plies	game_index	bot_is_white	opening	seed	git_sha	bot_eval_count	cp_loss_sum	blunder_count	sf_comparable	sf_agree	maia_comparable	maia_agree	elapsed_ms	mean_move_ms
locate	2300	0.5	sf0	win	adjudicated_eval	31	0	1	Italian Game	1	e7329f01	15	800.00	1	15	6	16	5	54885	2492.7435328125016
locate	2300	0.5	sf0	win	adjudicated_eval	39	1	0	Ruy Lopez	1	e7329f01	19	496.00	1	19	13	20	12	57480	1923.9255603000001
locate	2300	0.5	sf0	win	adjudicated_eval	29	2	1	Ruy Lopez, Morphy Defense	1	e7329f01	14	420.00	0	14	7	14	8	60256	3232.428746785715
locate	2300	0.5	sf0	win	adjudicated_eval	31	3	0	Scotch Game	1	e7329f01	15	252.00	0	15	6	16	7	69151	3384.3653874999945
locate	2300	0.5	sf0	win	adjudicated_eval	80	4	1	Petrov Defense	1	e7329f01	39	587.00	0	39	19	40	19	179100	3477.3549581750003
locate	2300	0.5	sf0	win	adjudicated_eval	45	5	0	Four Knights Game	1	e7329f01	22	754.00	0	22	9	22	12	118181	4326.361401272723
locate	2300	0.5	sf0	win	adjudicated_eval	44	6	1	Vienna Game	1	e7329f01	22	384.00	0	22	8	22	10	77646	2529.3390821818243
locate	2300	0.5	sf0	win	adjudicated_eval	25	7	0	King's Gambit	1	e7329f01	12	304.00	0	12	5	13	7	45138	2548.9526065384716
locate	2300	0.5	sf10	loss	adjudicated_eval	107	8	1	Sicilian Defense, Open	1	e7329f01	53	877.00	0	53	25	54	28	200696	2735.0982276481463
locate	2300	0.5	sf10	draw	ply_cap_draw	120	9	0	Sicilian Defense, Najdorf	1	e7329f01	60	2689.00	0	60	21	60	23	213022	2566.076523716674
locate	2300	0.5	sf10	loss	checkmate	90	10	1	Sicilian Defense, Dragon	1	e7329f01	44	1772.00	1	44	16	45	14	246764	4483.550333399999
locate	2300	0.5	sf10	loss	adjudicated_eval	77	11	0	French Defense	1	e7329f01	38	1875.00	1	38	16	38	12	207932	4445.464517368451
locate	2300	0.5	sf10	loss	adjudicated_eval	108	12	1	French Defense, Advance	1	e7329f01	54	1050.00	0	54	18	54	20	245394	3544.2651445000106
locate	2300	0.5	sf10	draw	ply_cap_draw	120	13	0	Caro-Kann Defense	1	e7329f01	60	1237.00	0	60	26	60	20	227483	2791.4057446000206
locate	2300	0.5	sf10	loss	checkmate	59	14	1	Caro-Kann Defense, Advance	1	e7329f01	29	1896.00	1	29	6	29	13	134359	3598.5503592413916
locate	2300	0.5	sf10	draw	ply_cap_draw	120	15	0	Scandinavian Defense	1	e7329f01	60	781.00	0	60	32	60	25	200096	2334.958479633345
measure	2300	0.5	maia1900	draw	threefold_repetition	109	16	1	Pirc Defense	1	e7329f01	53	749.00	0	54	23	55	26	109575	1908.2193174545146
measure	2300	0.5	maia1900	loss	adjudicated_eval	109	17	0	Modern Defense	1	e7329f01	54	1697.00	1	54	16	54	23	161835	2907.6924333703637
measure	2300	0.5	maia1900	win	checkmate	67	18	1	Alekhine Defense	1	e7329f01	32	955.00	2	33	10	34	12	97727	2790.280651147094
measure	2300	0.5	maia1900	win	adjudicated_eval	66	19	0	Queen's Gambit Declined	1	e7329f01	33	1021.00	0	33	19	33	18	92141	2705.977685121255
measure	2300	0.5	maia1900	win	checkmate	47	20	1	Queen's Gambit Accepted	1	e7329f01	22	456.00	1	23	15	24	14	47329	1890.3038258333497
measure	2300	0.5	maia1900	win	adjudicated_eval	84	21	0	Slav Defense	1	e7329f01	42	904.00	0	42	23	42	25	88307	2017.010133809521
measure	2300	0.5	maia1900	win	adjudicated_eval	65	22	1	King's Indian Defense	1	e7329f01	32	866.00	0	32	15	33	18	62673	1816.2792774242153
measure	2300	0.5	maia1900	win	adjudicated_eval	72	23	0	Nimzo-Indian Defense	1	e7329f01	36	774.00	0	36	22	36	20	103105	2776.2347286944537
measure	2300	0.5	maia1900	draw	insufficient_material	98	24	1	Gruenfeld Defense	1	e7329f01	48	654.00	0	48	26	49	29	131963	2607.492270408132
measure	2300	0.5	maia1900	win	adjudicated_eval	80	25	0	Queen's Indian Defense	1	e7329f01	40	899.00	0	40	13	40	20	105645	2553.928204899968
measure	2300	0.5	maia1900	win	adjudicated_eval	47	26	1	Bogo-Indian Defense	1	e7329f01	23	1065.00	2	23	14	24	13	62300	2512.279483541652
measure	2300	0.5	maia1900	win	adjudicated_eval	97	27	0	Dutch Defense	1	e7329f01	48	1414.00	2	48	23	48	18	131484	2651.0215792916424
measure	2300	0.5	maia1900	win	adjudicated_eval	89	28	1	Benoni Defense	1	e7329f01	44	996.00	0	44	24	45	24	113875	2446.8936939110877
measure	2300	0.5	maia1900	win	adjudicated_eval	89	29	0	English Opening	1	e7329f01	44	1057.00	0	44	27	44	24	87872	1910.01143738638
measure	2300	0.5	maia1900	win	adjudicated_eval	46	30	1	English Opening, Reversed Sicilian	1	e7329f01	22	400.00	0	22	13	23	12	66000	2782.1581952608312
measure	2300	0.5	maia1900	win	adjudicated_eval	56	31	0	Reti Opening	1	e7329f01	27	569.00	0	27	17	28	15	90206	3134.12522664277
measure	2300	0.5	maia1900	win	checkmate	46	32	1	London System	1	e7329f01	22	279.00	0	23	12	23	16	50050	2089.096850739124
